Nr.,Dosar,Medie BAC
1,74444,Olimpic
2,57462,Olimpic
3,59455,Olimpic
4,66642,Olimpic
5,71709,9.68
6,56789,9.66
7,59009,9.58
8,59364,9.53
9,62039,9.51
10,74101,9.50
11,70749,9.50
12,71523,9.36
13,67136,9.31
14,68515,9.31
15,71544,9.25
16,68716,9.23
17,73596,9.20
18,75456,9.11
19,66926,9.11
20,65959,9.11
21,62968,9.10
22,71051,9.03
23,62235,9.03
24,57481,9.01
25,74363,8.91
26,59458,8.88
27,70693,8.85
28,75050,8.83
29,75204,8.68
30,65622,8.65
31,57147,8.61
32,62610,8.56
33,69466,8.55
34,70175,8.43
35,60452,8.28
36,68845,8.00
37,59419,7.91
38,60689,7.80
39,74526,7.76
40.0,72442.0,7.75
Nr. crt.,Nr. dosar,Medie admitere
1,67062,Olimpic
2,74377,Olimpic
3,64189,9.46
4,57384,9.40
5,69045,9.38
6,72332,9.38
7,71410,9.26
8,68644,9.18
9,70566,9.16
10,69204,9.13
11,74446,9.11
12,57255,9.08
13,60737,9.08
14,61833,9.05
15,57492,9.01
16,63337,8.76
17,69298,8.75
18,72873,8.73
19,64222,8.71
20,73726,8.68
21,59372,8.66
22,73471,8.65
23,64968,8.60
24,67234,8.56
25,71351,8.55
26,57645,8.55
27,66087,8.53
28,72234,8.45
29,71181,8.41
30,58813,8.33
31,64353,8.31
32,57526,8.30
33,66985,8.23
34,74575,8.23
35,70808,8.23
36,66831,8.20
37,61745,8.18
38,71761,8.18
39,66179,8.16
40.0,61512.0,8.15
41.0,74751.0,8.15
42.0,62395.0,8.1
43.0,67698.0,8.08
44.0,70081.0,8.06
45.0,68762.0,8.06
46.0,67360.0,8.06
47.0,70769.0,8.03
48.0,74355.0,8.03
49.0,70332.0,8.03
50.0,74305.0,8.03
51.0,70187.0,8.01
52.0,70491.0,8.0
53.0,75088.0,7.95
54.0,58612.0,7.95
55.0,73186.0,7.95
56.0,68978.0,7.86
57.0,69582.0,7.85
58.0,62111.0,7.85
59.0,69241.0,7.83
60.0,74800.0,7.83
61.0,73741.0,7.78
62.0,73935.0,7.66
63.0,66080.0,7.58
64.0,69190.0,7.53
65.0,71905.0,7.51
66.0,69114.0,7.45
67.0,67382.0,7.38
68.0,66535.0,7.28
69.0,66976.0,7.2
70.0,66005.0,7.2
71.0,69764.0,7.13
Nr. crt.,Nr. dosar,Medie admitere
1,57372,10
2,73828,9.78
3,63386,9.76
4,70221,9.76
5,67869,9.76
6,61677,9.75
7,71830,9.66
8,66106,9.66
9,70592,9.60
10,74045,9.56
11,63670,9.53
12,70043,9.53
13,66058,9.46
14,64697,9.45
15,72967,9.41
16,72593,9.41
17,61464,9.40
18,63782,9.40
19,62927,9.38
20,62156,9.36
21,62442,9.35
22,70661,9.31
23,73624,9.31
24,59267,9.28
25,66924,9.25
26,66015,9.25
27,74646,9.23
28,72127,9.23
29,71467,9.21
30,75480,9.21
31,75433,9.20
32,69393,9.16
33,75076,9.15
34,71021,9.15
35,66763,9.13
36,71497,9.11
37,72402,9.11
38,71306,9.10
39,61642,9.06
40,69765,9.06
41,71853,9.06
42,75145,9.06
43,72002,9.01
44.0,74806.0,9.0
45.0,70270.0,9.0
46.0,63758.0,8.98
47.0,62347.0,8.98
48.0,69914.0,8.95
49.0,65511.0,8.91
50.0,56851.0,8.91
51.0,72081.0,8.9
52.0,69719.0,8.88
53.0,56787.0,8.86
54.0,67139.0,8.85
55.0,67415.0,8.85
56.0,57824.0,8.83
57.0,74625.0,8.8
58.0,73210.0,8.8
59.0,72503.0,8.75
60.0,74043.0,8.73
61.0,71432.0,8.71
62.0,68532.0,8.71
63.0,59038.0,8.71
64.0,74954.0,8.71
65.0,66285.0,8.7
66.0,68915.0,8.7
67.0,63427.0,8.68
68.0,72793.0,8.68
69.0,72174.0,8.65
70.0,57206.0,8.65
71.0,72568.0,8.63
72.0,72235.0,8.6
73.0,60787.0,8.58
74.0,66906.0,8.58
75.0,75047.0,8.56
76.0,73538.0,8.53
77.0,74794.0,8.53
78.0,56805.0,8.46
79.0,72495.0,8.45
80.0,70702.0,8.43
81.0,73117.0,8.4
82.0,68538.0,8.36
83.0,67586.0,8.35
84.0,72537.0,8.31
85.0,71828.0,8.3
86.0,68519.0,8.28
87.0,57477.0,8.2
88.0,68346.0,8.16
89.0,61997.0,8.15
Nr. crt.,Nr. dosar,Medie admitere
1,60992,Olimpic
2,72978,Olimpic
3,73891,Olimpic
4,73230,Olimpic
5,57806,Olimpic
6,72672,Olimpic
7,57860,Olimpic
8,64580,Olimpic
9,71084,9.76
10,68549,9.63
11,66536,9.51
12,65111,9.50
13,63906,9.45
14,56924,9.38
15,63269,9.35
16,72944,9.31
17,60108,9.30
18,75344,9.28
19,66100,9.26
20,63582,9.25
21,73649,9.23
22,63231,9.20
23,73119,9.16
24,74513,9.10
25,65440,9.05
26,74577,9.03
27,74775,9.01
28,60004,9.00
29,74356,9.00
30,60695,8.93
31,62479,8.90
32,62917,8.81
33,56926,8.80
34,65472,8.78
35,64894,8.75
36,68800,8.73
37,60155,8.71
38,71262,8.68
39,73365,8.68
40.0,66897.0,8.63
41.0,61445.0,8.63
42.0,74768.0,8.63
43.0,66317.0,8.61
44.0,64500.0,8.61
45.0,59762.0,8.61
46.0,64166.0,8.58
47.0,70279.0,8.55
48.0,69934.0,8.51
49.0,70339.0,8.5
50.0,65490.0,8.5
51.0,69702.0,8.4
52.0,74870.0,8.38
53.0,58860.0,8.36
54.0,67915.0,8.35
55.0,60466.0,8.21
56.0,61519.0,8.21
57.0,65043.0,8.2
58.0,70751.0,8.2
59.0,75482.0,8.16
60.0,57728.0,8.15
61.0,74993.0,8.1
62.0,72178.0,8.08
63.0,71705.0,8.06
64.0,58004.0,8.06
65.0,64173.0,8.06
66.0,71915.0,7.96
67.0,58356.0,7.93
68.0,63804.0,7.88
69.0,73029.0,7.86
70.0,65614.0,7.83
71.0,68281.0,7.78
72.0,58776.0,7.73
73.0,72583.0,7.71
74.0,71404.0,7.7
75.0,61609.0,7.68
76.0,70385.0,7.65
77.0,69321.0,7.63
78.0,69337.0,7.6
79.0,68977.0,7.58
Nr. crt.,Nr. dosar,Medie admitere
1,74542,Olimpic
2,74725,9.13
3,61348,9.05
4,67390,9.05
5,71436,8.96
6,71252,8.91
7,66303,8.81
8,64107,8.70
9,69722,8.65
10,70607,8.55
11,73048,8.55
12,73157,8.50
13,69103,8.50
14,58209,8.48
15,66013,8.41
16,65118,8.40
17,69946,8.38
18,56795,8.36
19,74564,8.35
20,63701,8.33
21,65871,8.21
22,61667,8.20
23,63814,8.16
24,67216,8.16
25,75195,8.06
26,71090,8.05
27,56834,7.86
28,57700,7.65
29,57752,7.36
30,60543,7.30
31,67837,7.30
32,74490,7.03
33,67666,6.95
34,74517,6.86
35,66617,6.85
36,74150,6.73
37,70169,6.48
38,74099,6.30
39,72629,6.28
40.0,75299.0,6.18
Nr. crt.,Nr. dosar,Medie admitere
1,57370,Olimpic
2,70779,9.23
3,70780,9.20
4,64758,9.15
5,65799,9.10
6,69162,9.03
7,58485,9.00
8,75016,8.90
9,75023,8.76
10,62820,8.76
11,66155,8.45
12,71069,8.45
13,59919,8.43
14,70249,8.35
15,72870,8.25
16,73816,8.21
17,63444,8.20
18,64169,8.18
19,74972,8.11
20,63627,8.11
21,74822,8.11
22,57217,8.00
23,68349,8.00
24,69282,7.96
25,74378,7.90
26,69274,7.76
27,65435,7.73
28,63820,7.71
29,74707,7.65
30,72741,7.56
31,58289,7.51
32,70750,7.51
33,75402,7.45
34,72770,7.45
35,56913,7.28
36,67469,7.21
37,60895,7.10
38,61492,7.06
39,74739,7.06
