Nr.Crt.,Nr.Legitimatie.,Medie admitere (15% BAC +15% Lb.rom scris+ 70% examen scris)
1,259,8.78
2,280,8.64
3,273,8.37
4,264,8.26
5,277,8.24
6,269,8.23
7,262,8.22
8,270,8.12
9,271,8.07
10,282,8.03
11,272,7.99
12,279,7.89
13,253,7.88
14,248,7.84
15,263,7.83
16,252,7.83
17,251,7.58
18,283,7.57
19,284,7.5
20,254,7.47
21,260,7.37
22,249,7.36
23,266,7.21
24,281,7.12
25,278,7.09
26,275,6.87
27,250,6.84
28,247,6.80
29,265,6.53
1,261,8.80
2,268,8.46
3,257,8.44
4,256,8.21
5,276,7.88
6,255,7.47
1,251,8.39
2,248,8.31
3,255,8.18
4,242,8.11
5,254,7.90
6,249,7.89
7,253,7.86
8,246,7.80
9,239,7.79
10,250,7.74
11,244,7.65
12,240,7.48
13,236,7.45
14,245,7.35
15,241,7.11
16,235,6.93
17,237,6.88
18,243,6.70
19,238,6.51
1,307,8.86
2,309,8.78
3,294,8.24
4,313,8.18
5,278,8.11
6,293,8.06
7,288,8.00
8,297,7.89
9,271,7.82
10,291,7.80
11,314,7.70
12,292,7.68
13,284,6.70
1,261,9.42
2,310,8.92
3,276,8.75
4,281,8.55
5,269,8.52
6,315,8.40
7,301,8.39
8,283,8.38
9,305,8.35
10,264,8.35
11,289,8.35
12,296,8.31
13,266,8.25
14,277,8.10
15,273,8.05
16,299,8.01
17,274,7.92
18,308,7.90
19,303,7.81
20,300,7.74
21,311,7.69
22,279,7.68
23,272,7.67
24,312,7.66
25,286,7.45
26,262,7.45
27,306,7.45
28,267,7.36
29,282,7.35
30,287,7.25
31,302,7.11
32,260,6.93
33,265,6.90
34,268,6.88
35,270,6.51
36,290,6.05
