Nr.crt,Nr.dosar,Medie admitere
1,37385,10
2,47525,9.40
3,48748,9.40
4,44301,9.10
5,40732,9.00
6,36315,8.90
7,44192,8.90
8,41279,8.90
9,36445,8.80
10,43141,8.80
11,40669,8.80
12,49841,8.70
13,42825,8.70
14,42916,8.70
15,38242,8.70
16,39277,8.70
17,45645,8.70
18,37295,8.60
19,41252,8.60
20,46971,8.60
21,36412,8.50
22,44467,8.50
23,42119,8.40
24,37009,8.40
25,44807,8.40
26,43639,8.40
27,40903,8.40
28,42223,8.40
29,41025,8.40
30,45258,8.30
31,43512,8.30
32,37873,8.30
33,36246,8.30
34,39920,8.30
83,48882,7.80
84,40327,7.80
85,41258,7.80
86,45790,7.80
87,36549,7.80
88,47906,7.80
89,47437,7.80
90,47124,7.80
91,43843,7.80
92,39222,7.80
93,38650,7.80
94,36916,7.80
95,44489,7.70
96,36814,7.70
97,45726,7.70
98,43453,7.70
99,36826,7.70
10,037516,7.70
82,42404,7.80
1,49851,9.10
2,45651,9.00
3,37353,9.00
4,41856,8.90
5,46787,8.80
6,36322,8.80
7,48298,8.70
8,36492,8.60
9,47854,8.50
1,047653,8.40
1,149699,8.40
1,248855,8.30
1,338556,8.20
1,445330,8.10
1,536706,8.10
1,648504,8.00
1,746493,8.00
1,843329,8.00
1,947048,7.90
2,036635,7.80
2,150157,7.80
2,242616,7.80
2,344885,7.80
2,447500,7.80
2,549878,7.80
2,639768,7.80
2,742945,7.80
2,847632,7.80
2,941772,7.70
3,048585,7.70
3,139921,7.70
3,243441,7.70
3,340577,7.70
3,446847,7.70
1,8940693,7.10
1,9045738,7.10
1,9142451,7.10
1,37385,10
2,47525,9.40
3,48748,9.40
4,44301,9.10
5,40732,9.00
6,36315,8.90
7,44192,8.90
8,41279,8.90
9,36445,8.80
10,43141,8.80
11,40669,8.80
12,49841,8.70
13,42825,8.70
14,42916,8.70
15,38242,8.70
16,39277,8.70
17,45645,8.70
18,37295,8.60
19,41252,8.60
20,46971,8.60
21,36412,8.50
22,44467,8.50
23,42119,8.40
24,37009,8.40
25,44807,8.40
26,43639,8.40
27,40903,8.40
28,42223,8.40
29,41025,8.40
30,45258,8.30
31,43512,8.30
32,37873,8.30
33,36246,8.30
34,39920,8.30
36,44878.0,8.3
37,36253.0,8.2
38,45134.0,8.2
39,37785.0,8.2
40,38182.0,8.2
41,36375.0,8.2
42,47328.0,8.2
43,43816.0,8.2
44,38098.0,8.2
45,39931.0,8.2
46,48562.0,8.2
47,50181.0,8.1
48,36804.0,8.1
49,36562.0,8.1
50,41410.0,8.1
51,38340.0,8.1
52,36448.0,8.1
53,48199.0,8.1
54,37280.0,8.1
55,37632.0,8.1
56,38607.0,8.1
57,42450.0,8.1
58,36695.0,8.1
59,48510.0,8.1
60,49408.0,8.0
61,46830.0,8.0
62,40950.0,8.0
63,46818.0,8.0
64,44197.0,8.0
65,45511.0,8.0
66,47981.0,8.0
67,43405.0,8.0
68,44337.0,7.9
69,43171.0,7.9
70,43725.0,7.9
71,43088.0,7.9
72,44397.0,7.9
73,36292.0,7.9
74,45650.0,7.9
75,36785.0,7.9
76,47792.0,7.9
77,48119.0,7.9
78,45224.0,7.9
79,50318.0,7.9
80,42962.0,7.8
81,44913.0,7.8
83.0,48882.0,7.8
84.0,40327.0,7.8
85.0,41258.0,7.8
86.0,45790.0,7.8
