Nr.,Dosar,Nota,Specializare
1.0,1071.0,10.0,RISE buget
2.0,27.0,10.0,RISE buget
3.0,581.0,10.0,RISE buget
4.0,94.0,10.0,RISE buget
5.0,1705.0,10.0,RISE buget
6.0,889.0,10.0,RISE buget
7.0,962.0,10.0,RISE buget
8.0,1044.0,10.0,RISE buget
9.0,291.0,10.0,RISE buget
10.0,713.0,10.0,RISE buget
12.0,69.0,10.0,RISE buget
13.0,140.0,10.0,RISE buget
14.0,260.0,10.0,RISE buget
15.0,464.0,10.0,RISE buget
16.0,95.0,10.0,RISE buget
17.0,829.0,10.0,RISE buget
18.0,1522.0,10.0,RISE buget
19.0,1321.0,10.0,RISE buget
20.0,306.0,9.78,RISE buget
21.0,698.0,9.78,RISE buget
22.0,180.0,9.78,RISE buget
23.0,535.0,9.78,RISE buget
24.0,566.0,9.78,RISE buget
25.0,891.0,9.78,RISE buget
26.0,866.0,9.78,RISE buget
27.0,899.0,9.78,RISE buget
28.0,275.0,9.78,RISE buget
29.0,272.0,9.67,RISE buget
30.0,935.0,9.67,RISE buget
31.0,778.0,9.67,RISE buget
32.0,211.0,9.67,RISE buget
33.0,514.0,9.67,RISE buget
34.0,435.0,9.67,RISE buget
35.0,471.0,9.67,RISE buget
36.0,1135.0,9.67,RISE buget
38.0,823.0,9.67,RISE buget
39.0,1091.0,9.67,RISE buget
40.0,428.0,9.67,RISE buget
41.0,511.0,9.67,RISE buget
42.0,782.0,9.67,RISE buget
43.0,896.0,9.67,RISE buget
44.0,1029.0,9.67,RISE buget
45.0,433.0,9.67,RISE buget
46.0,559.0,9.67,RISE buget
47.0,1557.0,9.67,RISE buget
48.0,313.0,9.67,RISE buget
49.0,1675.0,9.67,RISE buget
50.0,1708.0,9.67,RISE buget
51.0,110.0,9.67,RISE buget
52.0,425.0,9.67,RISE buget
53.0,1457.0,9.67,RISE buget
54.0,1722.0,9.67,RISE buget
55.0,340.0,9.67,RISE buget
56.0,661.0,9.67,RISE buget
57.0,763.0,9.67,RISE buget
58.0,611.0,9.67,RISE buget
59.0,93.0,9.67,RISE buget
60.0,1606.0,9.67,RISE buget
61.0,99.0,9.67,RISE buget
62.0,528.0,9.67,RISE buget
1.0,1784.0,Olimpica,RISE buget
1.0,924.0,8.67,RISE buget
1.0,711.0,9.56,RISE taxă
2.0,954.0,9.33,RISE taxă
3.0,1772.0,9.33,RISE taxă
4.0,1728.0,9.33,RISE taxă
5.0,476.0,9.33,RISE taxă
6.0,524.0,9.33,RISE taxă
7.0,1653.0,9.33,RISE taxă
8.0,1017.0,9.33,RISE taxă
9.0,864.0,9.33,RISE taxă
10.0,52.0,9.33,RISE taxă
12.0,1798.0,9.33,RISE taxă
13.0,1336.0,9.33,RISE taxă
14.0,341.0,9.33,RISE taxă
15.0,826.0,9.33,RISE taxă
16.0,79.0,9.33,RISE taxă
17.0,679.0,9.33,RISE taxă
18.0,1054.0,9.33,RISE taxă
19.0,1212.0,9.33,RISE taxă
20.0,665.0,9.33,RISE taxă
21.0,1450.0,9.33,RISE taxă
22.0,281.0,9.33,RISE taxă
23.0,717.0,9.33,RISE taxă
24.0,1190.0,9.33,RISE taxă
25.0,373.0,9.33,RISE taxă
26.0,219.0,9.33,RISE taxă
27.0,1552.0,9.22,RISE taxă
28.0,156.0,9.22,RISE taxă
29.0,472.0,9.22,RISE taxă
30.0,113.0,9.22,RISE taxă
31.0,417.0,9.22,RISE taxă
32.0,1011.0,9.11,RISE taxă
33.0,1235.0,9.0,RISE taxă
34.0,1284.0,9.0,RISE taxă
35.0,54.0,9.0,RISE taxă
36.0,1792.0,9.0,RISE taxă
37.0,998.0,9.0,RISE taxă
38.0,1351.0,9.0,RISE taxă
40.0,1159.0,9.0,RISE taxă
41.0,1189.0,9.0,RISE taxă
42.0,1740.0,9.0,RISE taxă
43.0,68.0,9.0,RISE taxă
44.0,832.0,9.0,RISE taxă
45.0,1076.0,9.0,RISE taxă
46.0,1310.0,9.0,RISE taxă
47.0,1060.0,9.0,RISE taxă
48.0,1206.0,9.0,RISE taxă
49.0,1305.0,9.0,RISE taxă
50.0,1676.0,9.0,RISE taxă
51.0,398.0,9.0,RISE taxă
52.0,1405.0,9.0,RISE taxă
53.0,1651.0,9.0,RISE taxă
54.0,607.0,9.0,RISE taxă
55.0,648.0,9.0,RISE taxă
56.0,13.0,9.0,RISE taxă
57.0,588.0,9.0,RISE taxă
58.0,75.0,9.0,RISE taxă
59.0,1626.0,9.0,RISE taxă
60.0,1602.0,9.0,RISE taxă
61.0,545.0,9.0,RISE taxă
62.0,921.0,9.0,RISE taxă
63.0,193.0,9.0,RISE taxă
64.0,1567.0,9.0,RISE taxă
65.0,64.0,9.0,RISE taxă
66.0,865.0,9.0,RISE taxă
1.0,1013.0,8.78,RISE ASTEPTARE
2.0,278.0,8.67,RISE ASTEPTARE
3.0,366.0,8.67,RISE ASTEPTARE
4.0,905.0,8.67,RISE ASTEPTARE
5.0,438.0,8.67,RISE ASTEPTARE
7.0,840.0,8.67,RISE ASTEPTARE
8.0,950.0,8.67,RISE ASTEPTARE
9.0,122.0,8.67,RISE ASTEPTARE
10.0,727.0,8.67,RISE ASTEPTARE
