Nr.,Dosar,Nr.Pref.,Medie
1,349,1,10
2,243,1,10
3,185,1,10
4,3140,1,10
5,1833,1,10
6,58,1,10
7,2367,1,10
8,511,1,9.95
9,2917,1,8.46
10,2553,1,8.44
11,2096,1,8.28
12,1314,1,8.26
13,2561,1,8.24
14,275,1,8.14
15,2768,1,8.14
16,2760,1,8.09
17,2988,1,8.05
18,3039,1,8.04
19,2307,1,7.96
20,572,1,7.95
21,424,1,7.92
22,196,1,7.9
23,2140,1,7.77
24,1647,1,7.77
25,203,1,7.76
26,1977,1,7.73
27,606,1,7.71
28,285,1,7.69
29,1286,1,7.69
30,2996,1,7.69
31,2083,1,7.68
32,1145,1,7.67
33,395,1,7.65
34,898,1,7.64
35,873,1,7.64
36,71,1,7.6
37,688,1,7.6
38,2306,1,7.57
39,2116,1,7.54
40,2155,1,7.54
41,3180,1,7.51
42,1920,1,7.49
43,1693,1,7.47
44,2753,1,7.47
45,1199,1,7.47
46,2344,1,7.44
47,2022,1,7.42
48,318,1,7.4
49,520,1,7.37
50,449,1,7.35
51,1756,1,7.35
52,648,1,7.34
53,2914,1,7.33
54,1631,1,7.32
55,189,1,7.29
56,386,1,7.22
57,548,1,7.18
58,3000,1,7.18
59,2245,1,7.17
60,2111,1,7.15
61,1917,1,7.09
62,1874,1,7.04
63,2635,1,7.01
64,824,1,6.98
65,2583,1,6.92
66,754,1,6.87
67,2393,1,6.86
68,625,2,6.84
69,906,1,6.82
70,566,3,6.81
71,2064,1,6.78
72,515,1,6.76
73,1129,2,6.75
74,1281,3,6.73
75,1501,2,6.72
76,1189,3,6.71
77,539,3,6.66
78,128,1,6.64
79,628,1,6.62
80,2495,1,6.61
81,417,1,6.6
82,284,3,6.59
83,751,2,6.54
84,696,2,6.53
85,2291,3,6.49
86,792,2,6.48
87,1884,2,6.45
88,180,3,6.41
89,1518,3,6.39
1,306,1,10
2,176,1,10
3,1349,2,10
4,272,1,10
5,1040,1,10
6,89,1,10
7,81,1,10
8,197,1,10
9,336,1,10
10,748,1,10
11,669,1,10
12,1825,1,10
13,84,1,10
14,1584,1,10
15,1675,1,10
16,1155,1,10
17,101,1,10
18,586,1,10
19,119,1,10
20,451,1,10
21,42,1,10
22,2995,1,10
23,67,1,10
24,489,1,10
25,1954,1,10
26,90,1,10
27,740,1,10
28,724,1,10
29,691,1,10
30,3188,1,10
31,1751,1,10
32,1126,1,10
33,504,1,10
34,1232,1,10
35,514,1,10
36,1511,1,9.98
37,1210,1,9.97
38,534.0,1.0,9.97
39,33.0,1.0,9.96
40,1201.0,1.0,9.96
41,1173.0,1.0,9.95
42,96.0,1.0,9.94
43,106.0,1.0,9.94
44,1152.0,1.0,9.93
45,509.0,1.0,9.93
46,143.0,1.0,9.93
47,60.0,1.0,9.92
48,201.0,1.0,9.92
49,1749.0,1.0,9.91
50,2360.0,1.0,9.91
51,413.0,1.0,9.91
52,88.0,1.0,9.91
53,1753.0,1.0,9.9
54,392.0,1.0,9.89
55,333.0,1.0,9.89
56,1101.0,1.0,9.89
57,2051.0,1.0,9.88
58,522.0,1.0,9.88
59,407.0,1.0,9.86
60,2352.0,1.0,9.86
61,2099.0,1.0,9.86
62,280.0,1.0,9.84
63,2476.0,1.0,9.83
64,636.0,1.0,9.83
65,271.0,1.0,9.82
66,507.0,1.0,9.78
67,2689.0,1.0,9.75
68,376.0,1.0,9.67
69,676.0,1.0,9.54
70,260.0,1.0,9.44
71,342.0,1.0,9.07
72,62.0,1.0,8.97
73,2349.0,1.0,8.84
74,44.0,1.0,8.8
75,564.0,1.0,8.76
76,681.0,1.0,8.75
77,1295.0,1.0,8.75
78,1472.0,1.0,8.71
79,505.0,1.0,8.71
80,140.0,1.0,8.71
81,263.0,1.0,8.71
82,2256.0,1.0,8.69
83,1921.0,1.0,8.63
84,2068.0,1.0,8.62
85,492.0,1.0,8.57
86,549.0,1.0,8.47
87,2082.0,1.0,8.43
88,1471.0,1.0,8.42
89,2270.0,1.0,8.33
90,1450.0,1.0,8.31
91,1882.0,1.0,8.27
92,1264.0,1.0,8.24
93,2630.0,1.0,8.24
94,2338.0,1.0,8.22
95,1164.0,1.0,8.21
96,1436.0,1.0,8.21
97,2857.0,1.0,8.16
98,1058.0,1.0,8.16
99,1992.0,1.0,8.15
10,0708.0,1.0,8.13
10,13169.0,1.0,8.11
10,21341.0,1.0,8.1
10,31498.0,1.0,8.09
10,4544.0,1.0,8.08
10,52881.0,1.0,8.08
10,6804.0,1.0,8.07
10,738.0,1.0,8.07
10,878.0,1.0,8.05
10,92720.0,1.0,8.02
11,0725.0,1.0,8.01
11,1643.0,1.0,7.99
11,2328.0,1.0,7.99
11,347.0,1.0,7.98
11,4851.0,1.0,7.96
11,52770.0,1.0,7.96
11,676.0,1.0,7.96
11,72492.0,1.0,7.95
11,8796.0,1.0,7.94
11,9366.0,1.0,7.94
12,02707.0,1.0,7.93
12,1214.0,1.0,7.93
12,2497.0,1.0,7.91
12,33052.0,1.0,7.9
12,41824.0,1.0,7.89
12,5612.0,1.0,7.88
12,61166.0,1.0,7.88
12,7242.0,1.0,7.86
12,82725.0,1.0,7.86
12,92129.0,1.0,7.85
13,0277.0,1.0,7.84
13,1815.0,1.0,7.83
13,22439.0,1.0,7.83
13,31612.0,1.0,7.82
13,479.0,1.0,7.82
13,51723.0,1.0,7.82
13,61433.0,1.0,7.82
13,71883.0,1.0,7.82
13,81123.0,1.0,7.8
13,91689.0,1.0,7.79
14,02350.0,1.0,7.79
14,1666.0,1.0,7.77
14,2731.0,1.0,7.76
14,31515.0,1.0,7.76
14,41721.0,1.0,7.76
14,5716.0,1.0,7.75
14,651.0,1.0,7.73
14,7255.0,1.0,7.71
14,82650.0,1.0,7.7
14,91827.0,1.0,7.69
15,01457.0,1.0,7.68
15,1294.0,1.0,7.67
15,2779.0,1.0,7.66
15,31552.0,1.0,7.66
15,4365.0,1.0,7.66
15,51849.0,1.0,7.66
15,61783.0,1.0,7.64
15,71746.0,1.0,7.64
15,893.0,1.0,7.64
15,92416.0,1.0,7.63
16,01680.0,1.0,7.63
16,1459.0,1.0,7.63
16,2604.0,1.0,7.63
16,3232.0,2.0,7.62
16,41730.0,1.0,7.62
16,51305.0,1.0,7.62
16,62010.0,1.0,7.61
16,73209.0,1.0,7.6
16,81752.0,1.0,7.6
16,9742.0,1.0,7.58
17,01764.0,1.0,7.57
17,11678.0,1.0,7.57
17,2223.0,1.0,7.57
17,3317.0,1.0,7.57
17,4315.0,1.0,7.56
17,51297.0,1.0,7.56
17,61981.0,1.0,7.55
17,71513.0,1.0,7.55
17,8777.0,1.0,7.55
17,9221.0,1.0,7.55
18,01625.0,1.0,7.54
18,1297.0,1.0,7.52
18,22977.0,1.0,7.51
18,3803.0,1.0,7.51
18,42336.0,1.0,7.5
18,5629.0,1.0,7.49
18,62404.0,1.0,7.49
18,71275.0,1.0,7.47
18,8423.0,1.0,7.47
18,91677.0,1.0,7.46
19,02692.0,1.0,7.45
19,1323.0,1.0,7.45
19,21571.0,1.0,7.44
19,3886.0,1.0,7.44
19,42213.0,1.0,7.44
19,52400.0,1.0,7.43
19,641.0,1.0,7.42
19,7463.0,1.0,7.42
19,81988.0,1.0,7.41
19,91161.0,1.0,7.41
20,0251.0,1.0,7.4
20,1693.0,1.0,7.4
20,22588.0,1.0,7.4
20,3546.0,1.0,7.4
20,43130.0,1.0,7.39
20,52395.0,1.0,7.39
20,680.0,1.0,7.39
20,71771.0,1.0,7.38
20,8355.0,1.0,7.38
20,92332.0,1.0,7.37
21,0286.0,1.0,7.37
21,11508.0,1.0,7.37
21,22544.0,1.0,7.37
21,32162.0,1.0,7.36
21,41234.0,1.0,7.34
21,5671.0,1.0,7.34
21,61464.0,1.0,7.31
21,71879.0,1.0,7.31
21,82794.0,1.0,7.31
21,9238.0,1.0,7.3
22,0892.0,1.0,7.29
22,12524.0,1.0,7.29
22,21649.0,1.0,7.29
22,3701.0,1.0,7.29
22,41755.0,1.0,7.29
22,51834.0,1.0,7.28
22,6240.0,1.0,7.28
22,7394.0,1.0,7.28
22,8447.0,1.0,7.28
22,9230.0,1.0,7.28
23,02752.0,1.0,7.27
23,12325.0,1.0,7.26
23,22119.0,1.0,7.26
23,31603.0,1.0,7.26
23,4761.0,1.0,7.25
23,51775.0,1.0,7.24
23,6640.0,1.0,7.24
23,782.0,1.0,7.24
23,82668.0,1.0,7.23
23,92591.0,1.0,7.21
24,087.0,1.0,7.21
24,11149.0,1.0,7.2
24,21459.0,1.0,7.16
24,3538.0,1.0,7.16
24,4132.0,1.0,7.13
24,5354.0,1.0,7.11
24,62765.0,1.0,7.11
24,72321.0,1.0,7.08
24,8433.0,1.0,7.07
24,92475.0,1.0,7.06
25,0500.0,1.0,7.03
25,1713.0,1.0,7.01
